_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,ctr,cuestr,error,experiment,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfDaRhlAy5nFwleSHZq,19509,0.5,16,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,none,1,,18,1,1
-MfDaTbXRVrZ_RHrSEaa,2568,0.5,15,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfDaV_riuH8gI3eauXm,5063,0.5,1,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,12,0,1
-MfDaYJrBYYekV5-Mm9Y,8174,0.5,4,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,12,1,1
-MfDaZybPIrHEPqWr3nt,3753,0.5,11,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,12,0,1
-MfDaajUYKNYN7OU7bza,4206,0.5,5,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfDacHk_pxI4I_A3xXs,3333,0.5,1,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfDadRyn8fR3DEw2z9m,1733,0.5,2,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfDaf6re6O8YyGH_RRn,4826,0.5,17,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,18,1,1
-MfDagZ6bbiUeCvhdCo1,2887,0.5,3,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,12,0,1
-MfDahqaxoYdjmdiYjAw,2272,0.5,1,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfDaiuLdMVOT3StctE4,1324,0.5,5,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,6,0,1
-MfDajyLbe_83LOu9q-5,1348,0.5,2,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,3,,6,0,1
-MfDalSypMocAKlo5Ddf,3105,0.5,12,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,18,1,1
-MfDamXigWWpg6Zb7pS7,1381,0.5,2,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfDapWqwu4Q_ZEMJc_M,9224,0.5,11,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfDaqWi_GmfveR3XVXU,2074,0.5,5,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfDatKTByv_zffbJTn3,8489,0.5,3,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfDaumhVzeIkENaEzMi,2945,0.5,4,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfDawUCftTXPL4H-FLD,3929,0.5,12,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,18,0,1
-MfDaxmS_m_QGZtswwto,2299,0.5,3,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,3,,6,0,1
-MfDaz0qspW72_t_7Uwb,2062,0.5,12,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,4,,18,0,1
-MfDb0D_iZwYWFu4pj0K,5996,0.5,6,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,18,1,1
-MfDb37E9ivbBNQLaSNv,8858,0.5,10,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfDb4TxeRZ5EfwbD_oW,2530,0.5,0,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,3,,6,0,1
-MfDb6GJ4Ov9b46uX30s,4297,0.5,3,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,4,,18,0,1
-MfDb7lKNzeB0cesIxCo,3125,0.5,1,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,5,,12,0,1
-MfDb8xw_1rWMSmOBIjZ,1888,0.5,2,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfDbATg-EQJfSokKSnG,3179,0.5,0,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,12,1,1
