_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,ctr,cuestr,error,experiment,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfDnT8byae1qT7tQouB,1996,0.5,1,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,none,1,,18,1,1
-MfDnUNyxMnYJWGwivZR,2048,0.5,2,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfDnVjeUd9EUOgDEEOV,2537,0.5,5,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfDnWlLJrVZYak2CjS1,1190,0.5,1,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,3,,12,0,1
-MfDnZNRXBBOwWr0Kskj,7681,0.5,11,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,18,1,1
-MfDn_di0950UEb2VxZ2,2185,0.5,0,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,12,0,1
-MfDnbUFbs2SoIQggnQ8,4503,0.5,14,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,3,,18,0,1
-MfDncrk2wtxPubkKZOg,2653,0.5,5,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,4,,12,0,1
-MfDne1DZbnXpi3Fn4Ke,1754,0.5,14,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,5,,18,0,1
-MfDnf4IStAx2Xk8RiHt,1277,0.5,4,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,6,,12,0,1
-MfDng8Ir9tLx4o8YzuW,1336,0.5,1,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfDnhLAAqHvObL83uQ6,1908,0.5,5,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfDnieXWuDDriS9In7l,2386,0.5,1,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfDnjnfWG5adlJkFR1W,1670,0.5,6,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,3,,12,0,1
-MfDnkp3Mhoj1kjxnqhW,1176,0.5,1,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,4,,6,0,1
-MfDnm5bfQNwn2tvW6kn,2204,0.5,6,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,5,,18,0,1
-MfDnnVoLmkACVyUCMh4,2758,0.5,11,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,6,,18,0,1
-MfDnogZj4tT6hxh4APS,1832,0.5,5,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,7,,18,0,1
-MfDnqKQiTVSnSd48To9,3697,0.5,12,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,8,,18,0,1
-MfDnrK9rvJn3tTOLDmy,1059,0.5,0,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfDnsMV2U9tg3mlGfYb,1235,0.5,0,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,12,0,1
-MfDntPsC8E4YF4fQm7c,1294,0.5,14,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,3,,18,0,1
-MfDnvgZhJzdSNPtakDZ,6303,0.5,0,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,18,1,1
-MfDnwhJ4INGUWCp6m3j,1132,0.5,5,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfDny4ySd4NLWWqfo5f,2659,0.5,3,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,3,,6,0,1
-MfDnznqwCoj4158dgPG,4023,0.5,14,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,4,,18,0,1
-MfDo0CTVaZ1oot9PhR6,2723,0.5,4,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,5,,18,0,1
-MfDo1YZ8UlmH2h7dY-f,2495,0.5,4,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,6,,12,0,1
-MfDo32lf8VSrm9omqlB,3144,0.5,1,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,7,,12,0,1
-MfDo4BR80wpOeXhoi6H,1641,0.5,0,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,12,1,1
