_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,ctr,cuestr,error,experiment,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfDcSbkrOOtdErvxMbc,5133,0.5,0,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,none,1,,6,1,1
-MfDcTVy2-KecUecOsgW,1222,0.5,9,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfDcUWhVQqi1xwXBVm1,1117,0.5,3,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,3,,6,0,1
-MfDcWe_vd8TTT9ywkae,6744,0.5,3,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfDcY6R_OURV0qbujZw,2922,0.5,10,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfDcZdPHWFD6Q0Wo1q5,3259,0.5,10,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,12,0,1
-MfDcaaUX62yjVkuDWy4,4999,0.5,14,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,3,,18,0,1
-MfDcbTCJVGXMbAsgpvG,1538,0.5,5,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfDccf2j4U4FmDZk8G6,1899,0.5,14,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfDcdiGA5IVFxZsNBw7,1282,0.5,1,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,3,,12,0,1
-MfDceqZkZSXL7qjVw01,1613,0.5,5,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfDch60pohD-XWjCTUC,6227,0.5,8,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfDcieyvlTP_l1tXDs-,4381,0.5,2,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfDcjt8RZJGHrpFnXKq,1985,0.5,1,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfDckerf1uPiKxxi9Zn,1171,0.5,5,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfDclYgiSJXZNmmAYmz,1621,0.5,1,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,3,,6,0,1
-MfDcn661AjgiltZMAYv,3345,0.5,1,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfDcnsF6ydS3vGYwndx,1135,0.5,5,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfDcoqF_QBw7uSsEdzZ,1958,0.5,2,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,12,0,1
-MfDcpf55dXAjKeR5mMy,1373,0.5,0,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,3,,6,0,1
-MfDcqQmviEvKP-cOUhM,1105,0.5,3,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,4,,18,0,1
-MfDcrOEORYGBTIYR0Iu,909,0.5,2,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,12,1,1
-MfDcseH7Obk0nu_7T1-,2178,0.5,14,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfDcuKbmWo3S3PvZjGw,3851,0.5,1,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfDcvJy3oVfEPCMVPA_,1020,0.5,11,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,12,0,1
-MfDcwi0YuInnqnkOd-t,2672,0.5,1,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfDcxzl8DZ-eK-v8Udp,2221,0.5,4,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,12,0,1
-MfDcz5WKwwMFTR_TPi9,1523,0.5,2,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,3,,12,0,1
-MfDd-k2qo7b1g_TH7si,3738,0.5,0,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,4,,18,0,1
-MfDd0iG2q21cZuOt-UQ,1968,0.5,5,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfDd3FImOxa1RM2mddG,8356,0.5,8,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,12,1,1
-MfDd4uBb2aBUiY3o9Rn,3767,0.5,1,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfDd5vJOLEbzsj_2_Ri,1153,0.5,7,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,3,,12,0,1
-MfDd7JiTikS5vUOPKGB,2698,0.5,7,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,4,,12,0,1
-MfDd8IdQhsY53Dhp5zU,1001,0.5,5,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfDdAB0E03UvlLEhA3A,4679,0.5,0,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfDdC-J06Uu_qxSYYAx,4420,0.5,3,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,3,,18,0,1
-MfDdDSs_E_SPtVbOslA,2963,0.5,5,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,6,1,1
-MfDdEpjrKo-Zcgqt5Nu,3606,0.5,17,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfDdGYmJ9b7Vz410Orf,4035,0.5,10,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,12,0,1
-MfDdIxlOZcUThGH4j_n,6835,0.5,2,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfDdKTSiJ6XOaS7x5xV,3171,0.5,3,smallsharpT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfDdLg-Hp0opLjNq7Oj,1933,0.5,3,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfDdMnQPtTzwLhTgDJj,1556,0.5,15,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,18,0,1
-MfDdNZHxh5SGuCLlrbh,1116,0.5,2,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,3,,6,0,1
-MfDdOjEfpW1MwU8i9e1,2777,0.5,4,smalldotT,experiment,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,4,,12,0,1
-MfDdQ-ls_-4iI-x9r5S,3197,0.5,11,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,5,,12,0,1
-MfDdR5tydzcvvKFUjUS,1473,0.5,6,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,6,,18,0,1
