_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,ctr,cuestr,error,experiment,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfDY4IMHaVmLfaFqLtY,3811,0.5,10,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,none,1,,12,1,1
-MfDY61sTXmXrqPymy9s,2975,0.5,4,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,12,1,1
-MfDY7JOJvDSb4b4Cdf1,2202,0.5,2,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfDY8YCdFkkKy9qhpX9,2016,0.5,14,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,3,,18,0,1
-MfDYA4O-hHfQXM1lEjY,3252,0.5,2,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfDYBHjvpzilivna1YG,1918,0.5,5,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,6,1,1
-MfDYCOVpxYN7F9mEwuo,1490,0.5,14,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfDYDv0wExhl4kxLLQ-,3224,0.5,3,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,3,,18,0,1
-MfDYFfqnl81xFLdNU45,4193,0.5,8,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfDYGwDHPogflqQu6HN,2132,0.5,8,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfDYIWynYxOEPlUyJpK,3490,0.5,1,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,6,1,1
