_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,ctr,cuestr,error,experiment,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfDXxlhiIY868TbvKmU,8827,0.5,0,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,none,1,,18,1,1
-MfDXz8dOiX9PIjJPPe2,2651,0.5,4,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,6,0,1
-MfDY11jh6wIse9qbv0s,8134,0.5,3,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfDY4liMl9_acCFAPck,12299,0.5,5,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfDY6XwvyAmtQAWNODO,4235,0.5,0,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfDY7_nBxc3nSolDW67,1146,0.5,1,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfDY92gOkey6ie5RBfm,3007,0.5,14,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfDYA4Pzbn-Mxj2MeXd,1204,0.5,0,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,3,,6,0,1
-MfDYBD8v7PRYdSXwl-Q,1652,0.5,0,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,4,,18,0,1
-MfDYCQmqMeex-_EHje9,1970,0.5,0,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,12,1,1
-MfDYDdYp06uJNj849QH,1972,0.5,7,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfDYFDNreRKpaEDRJDr,3452,0.5,7,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,12,1,1
-MfDYH6kwdCBzSeEFzpm,4766,0.5,0,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfDYINVzjyCdrWDUmmd,2163,0.5,1,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,6,1,1
