_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,ctr,cuestr,error,experiment,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfDlnXsi1JJkXQy51QN,12040,0.5,9,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,none,1,,18,1,1
-MfDlqHlagP8z03couyP,8830,0.5,12,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfDlsBGNxl6tUEklmy-,4784,0.5,10,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfDltNtGtDP7qp5UHYx,1897,0.5,11,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,18,0,1
-MfDluYGcQycP-vVrjL3,1750,0.5,1,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,3,,6,0,1
-MfDlvtl8DSpKggKRyzA,2529,0.5,0,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,6,1,1
-MfDlxM28b0b4EO5E3dA,2962,0.5,12,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfDlyTW0A3kjDKlpSkq,1568,0.5,7,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,18,0,1
-MfDm-MlEOMFZHs4PLsl,4748,0.5,6,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,12,1,1
-MfDm0Qw4eOMX6AmN_Db,1349,0.5,4,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfDm2REu_4zIR7XV0-O,5202,0.5,9,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,3,,18,0,1
