_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,ctr,cuestr,error,experiment,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfDWcQHt115RQprxY8k,6791,0.5,12,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,none,1,,18,1,1
-MfDWeIhZS7U5EBuBDra,3990,0.5,9,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,12,0,1
-MfDWgMFEse2pHTYlLHq,5405,0.5,5,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfDWiBldrCN9_0p5TIV,4513,0.5,4,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,12,0,1
-MfDWjFJ3J5wca89hRss,2310,0.5,4,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,3,,6,0,1
-MfDWkALCdQotlDiBvPI,1762,0.5,5,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,4,,12,0,1
-MfDWlQ0bwK_MsBK85wR,2087,0.5,1,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,5,,6,0,1
-MfDWmYoGR0ektL-FCje,1641,0.5,5,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,6,,18,0,1
-MfDWnxHbNa-SH9J57D-,2714,0.5,13,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfDWpq2ehlp1nG1qDm8,4712,0.5,2,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfDWrpTaBTz2Y08ZzdO,5131,0.5,3,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,12,1,1
-MfDWt2__K1SLyAC8Aa6,2988,0.5,0,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfDWuMGAajE_tt_3ymY,2347,0.5,10,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,12,1,1
