_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,ctr,cuestr,error,experiment,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfDYdfY7a-NjtDQolpz,5541,0.5,5,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,none,1,,6,1,1
-MfDYfbXrzntsyFs-2SU,4634,0.5,2,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,6,1,1
-MfDYgpSNd0KqtY1ceaA,1985,0.5,1,smallsharpT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,2,,6,0,1
-MfDYj4vQbytRQyVqpDJ,6235,0.5,2,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfDYlT9heLW5OY4rupf,6726,0.5,16,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,18,0,1
-MfDYndtJjwter_uruU4,5927,0.5,8,smalldotT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,3,,12,0,1
-MfDYy7re--V3tnV4Z5J,39916,0.5,2,smallsharpT,practice,3,0,,1,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,1,,18,1,1
-MfDZ3U-Pre30woEkiMv,22975,0.5,16,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfDZ4jTf6MD9G4aG9bc,2132,0.5,0,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,2,,6,0,1
-MfDZ7qSNuw7TW_t4kx7,9719,0.5,0,smalldotT,practice,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,3,,12,0,1
-MfDZAYH9QVZlNleJnZf,8048,0.5,3,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,4,,6,0,1
-MfDZCK3NcLFoTdHj6Un,4267,0.5,0,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfDZEm7TIL6Y_0CDvdF,8036,0.5,12,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfDZFuP5AO5iVsE0wUN,1604,0.5,2,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,2,,6,0,1
-MfDZHqs5nMdLKPVoxm0,4952,0.5,1,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smalldotT,3,,18,0,1
-MfDZIx7u4DKQ50rz594,1484,0.5,2,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,4,,12,0,1
-MfDZKAtyhZqrMhxT0h0,2032,0.5,5,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,5,,6,0,1
-MfDZLUY_ZGVgmxZDF-6,2335,0.5,11,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfDZMw0DH4nFpcCdzRG,3905,0.5,8,smalldotT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfDZOkrcVfFLl40z3td,4461,0.5,5,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfDZQA4z-PWtEvf0vFM,2753,0.5,9,smallsharpT,experiment,3,0,,0,smallSharp_and_smallPointy,0,,ArrowRight,smallsharpT,2,,12,0,1
