_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-Mfiagf4YjnkI_xvk0MC,1811,0.5,3,blobT,practice,3,1,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,none,1,,4,1,1
-Mfiahc6wAv0TRyl9q3w,2233,0.5,1,arrowT,practice,3,2,0,,1,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,blobT,1,,4,1,1
-MfiaifV3WChiIpLt-nI,1291,0.5,0,blobT,practice,3,3,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,arrowT,1,,4,1,1
-MfiajnqUjsajYHJPvhI,1612,0.5,3,arrowT,practice,3,4,0,,1,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,blobT,1,,4,1,1
-Mfial03yg0Q_YaeUIy0,1932,0.5,0,arrowT,practice,3,5,0,,1,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,2,,10,0,1
-MfiamJ-U8Cr6URzJ1Gt,2298,0.5,6,blobT,practice,3,6,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,1,,7,1,1
-MfianLukwrGrjKEFBSd,1260,0.5,2,arrowT,practice,3,7,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,blobT,1,,4,1,1
-MfiaodaHndMFvTD0M69,2275,0.5,7,blobT,practice,3,8,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,1,,10,1,1
-Mfiaq3YDWVTjMVM-R2X,2812,0.5,7,blobT,practice,3,9,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,blobT,2,,10,0,1
-Mfiar95shUeyf5b0Siu,1431,0.5,3,arrowT,practice,3,10,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,blobT,1,,4,1,1
-MfiasJMXZXubqnJHaiC,1729,0.5,7,arrowT,experiment,3,11,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,arrowT,2,,10,0,1
-MfiatKW8d2pDohfav4A,1150,0.5,1,blobT,experiment,3,12,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,1,,7,1,1
-MfiauhOlz-AE95thCtN,3606,0.5,7,blobT,experiment,3,13,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,blobT,2,,10,0,1
-MfiavkYvWVWLl6uYWNA,1284,0.5,2,arrowT,experiment,3,14,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,blobT,1,,7,1,1
-Mfiawwwe6kEQM8EO6Q4,2874,0.5,4,blobT,experiment,3,15,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,1,,10,1,1
-MfiaxymiRj9BPtdnKEC,1198,0.5,3,blobT,experiment,3,16,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,blobT,2,,10,0,1
-MfiayicQ2MVN14LCS3E,1044,0.5,0,arrowT,experiment,3,17,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,blobT,1,,4,1,1
-Mfiazx2ug0bIaFuDl_E,2007,0.5,7,arrowT,experiment,3,18,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,arrowT,2,,10,0,1
-Mfib04lGPsg-uU85b4D,1636,0.5,1,arrowT,experiment,3,19,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,3,,10,0,1
-Mfib0x8fgYi12hpwCl5,1531,0.5,3,blobT,experiment,3,20,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,1,,4,1,1
-Mfib28GHsDq3VDxQVq0,1853,0.5,1,arrowT,experiment,3,21,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,blobT,1,,4,1,1
-Mfib30kIfakB6woiAY_,1599,0.5,3,arrowT,experiment,3,22,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,arrowT,2,,4,0,1
-Mfib47M63yQC2uRvvZx,1498,0.5,5,blobT,experiment,3,23,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,1,,7,1,1
-Mfib5Cg1tuXvvAozFeg,1422,0.5,0,blobT,experiment,3,24,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,blobT,2,,4,0,1
-Mfib6Gg5XM_okiW113n,1337,0.5,5,arrowT,experiment,3,25,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,blobT,1,,7,1,1
-Mfib7E1fBum4Nmw_7XY,909,0.5,3,blobT,experiment,3,26,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,1,,4,1,1
-Mfib8KhIqHdgrAZDu59,1514,0.5,0,arrowT,experiment,3,27,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowRight,blobT,1,,7,1,1
-Mfib9B2xbUYxZRTZpHx,1468,0.5,3,arrowT,experiment,3,28,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,2,,7,0,1
-MfibAA0yJmoV6kQZBeD,1011,0.5,4,arrowT,experiment,3,29,0,,0,blob_and_arrow,A1BHR5XQ16T7LA,0,,ArrowLeft,arrowT,3,,10,0,1
