_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfYnrqhUhQ6dLwyqmzc,3159,0.5,4,smallsharpT,practice,3,1,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,none,1,,6,1,1
-MfYnspkYOZ4NknX6Oxh,1952,0.5,1,smallsharpT,practice,3,2,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfYnvHEJkUxSOmBCfbz,7021,0.5,5,smallsharpT,practice,3,3,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smallsharpT,3,,18,0,1
-MfYnwtjnsbPSlj4EYmr,3620,0.5,1,smallsharpT,practice,3,4,0,,1,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smallsharpT,4,,6,0,1
-MfYnz6zjnMkKwz4nTAZ,6102,0.5,3,smalldotT,practice,3,5,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfYo-PDTpmPSXC-QD-4,2262,0.5,2,smallsharpT,practice,3,6,0,,1,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smalldotT,1,,6,1,1
-MfYo17zOdIJkfXs9f-J,4087,0.5,5,smallsharpT,practice,3,7,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfYo2S5-Jc2FKUSBdit,2380,0.5,3,smallsharpT,practice,3,8,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smallsharpT,3,,6,0,1
-MfYo4E6rLp3n_k8TCI7,4293,0.5,0,smalldotT,practice,3,9,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfYo5W5b6r6dhZPkcIM,2245,0.5,0,smalldotT,practice,3,10,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smalldotT,2,,12,0,1
-MfYo6xLOtJCQjP9jl8e,2902,0.5,7,smallsharpT,experiment,3,11,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfYo8ZqSF9iAKH4uAhL,3621,0.5,4,smalldotT,experiment,3,12,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfYo9m56i6H-Xlxjbp0,1942,0.5,4,smallsharpT,experiment,3,13,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smalldotT,1,,6,1,1
-MfYoBXaU5uRha5qJbUM,4198,0.5,4,smallsharpT,experiment,3,14,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfYoCxooncv7gNV1RG7,2835,0.5,6,smalldotT,experiment,3,15,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfYoEKTE-n3zomUYpw6,2607,0.5,3,smalldotT,experiment,3,16,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smalldotT,2,,6,0,1
-MfYoFV2fEFd8v7BKsS7,1771,0.5,9,smalldotT,experiment,3,17,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smalldotT,3,,18,0,1
-MfYoGaxe-ej90aQ2qF4,1536,0.5,4,smallsharpT,experiment,3,18,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smalldotT,1,,12,1,1
-MfYoHqx1wX1I43l7VKQ,2117,0.5,9,smallsharpT,experiment,3,19,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfYoJFhTc7LksatLFJ-,2741,0.5,0,smalldotT,experiment,3,20,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfYoKUBEPpZcPAuM8zT,2019,0.5,1,smalldotT,experiment,3,21,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smalldotT,2,,6,0,1
-MfYoLjoPyNkbZxRXUCn,2157,0.5,1,smallsharpT,experiment,3,22,0,,0,smallSharp_and_smallDot,A2ASTDMWBCFIP0,0,,ArrowLeft,smalldotT,1,,12,1,1
