,_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
0,-MfaN4pb7oB830cc7G1b,7522,0.5,4,smallsharpT,practice,3,1,0,,0,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowLeft,none,1,,18,1,1
1,-MfaN5oJtK56u3zLaHoT,1306,0.5,9,smallsharpT,practice,3,2,0,,0,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowRight,smallsharpT,2,,12,0,1
2,-MfaN7kIEc1jiyNy2ij8,5921,0.5,7,smallsharpT,practice,3,3,0,,0,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowLeft,smallsharpT,3,,18,0,1
3,-MfaN8q2M0604KluJWOc,2451,0.5,2,smalldotT,practice,3,4,0,,1,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowRight,smallsharpT,1,,6,1,1
4,-MfaNCUsVVXlwECXVKQ6,11944,0.5,6,smallsharpT,practice,3,5,0,,1,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowLeft,smalldotT,1,,18,1,1
5,-MfaNEABmKPmd6_xBzhb,3855,0.5,3,smalldotT,practice,3,6,0,,0,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowRight,smallsharpT,1,,12,1,1
6,-MfaNGOsF5tfaGbjqczk,6113,0.5,0,smalldotT,practice,3,7,0,,0,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowLeft,smalldotT,2,,6,0,1
7,-MfaNHqKDYbGqM_lC4JR,2893,0.5,3,smallsharpT,practice,3,8,0,,0,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowRight,smalldotT,1,,6,1,1
8,-MfaNKdwHdxPogn8OClr,8477,0.5,6,smallsharpT,practice,3,9,0,,1,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowLeft,smallsharpT,2,,12,0,1
9,-MfaNLxWUH8K998F8517,2327,0.5,2,smallsharpT,practice,3,10,0,,0,smallSharp_and_smallDot,A10AVWALIHR4UQ,0,,ArrowLeft,smallsharpT,3,,6,0,1
